description,category,deadline_proximity,vulnerability_score,urgency_label
Logistical delays affecting food distribution in remote villages,Logistics,8,99,Critical
Logistical delays affecting food distribution in remote villages,Infrastructure,17,54,Medium
Educational program for refugees requires immediate funding,Infrastructure,12,98,High
"Healthcare crisis reported, emergency response team needed",Infrastructure,19,55,Low
Educational program for refugees requires immediate funding,Infrastructure,10,24,Low
Road repairs required due to heavy rainfall damage,Education,9,22,High
New school materials needed for underprivileged children,Medical,5,69,High
"Healthcare crisis reported, emergency response team needed",Security,6,56,Low
Relief efforts delayed due to severe weather conditions,Infrastructure,20,33,Medium
New school materials needed for underprivileged children,Logistics,26,36,Critical
"Healthcare crisis reported, emergency response team needed",Infrastructure,2,20,Medium
"Healthcare crisis reported, emergency response team needed",Logistics,27,83,High
Road repairs required due to heavy rainfall damage,Education,24,99,Medium
"Bridge collapse poses serious risk, engineers dispatched",Logistics,27,81,Low
Road repairs required due to heavy rainfall damage,Security,13,62,High
"Healthcare crisis reported, emergency response team needed",Medical,6,98,Critical
Urgent need for medical supplies in rural areas,Logistics,5,73,Low
New school materials needed for underprivileged children,Logistics,25,26,Low
Road repairs required due to heavy rainfall damage,Medical,1,66,Critical
"Bridge collapse poses serious risk, engineers dispatched",Security,21,73,Critical
"Security threat detected in urban sector, immediate action required",Infrastructure,22,73,Medium
Educational program for refugees requires immediate funding,Logistics,21,40,High
"Healthcare crisis reported, emergency response team needed",Medical,6,17,Critical
Relief efforts delayed due to severe weather conditions,Education,6,1,Critical
"Security threat detected in urban sector, immediate action required",Medical,23,89,High
Logistical delays affecting food distribution in remote villages,Education,16,61,Critical
"Cybersecurity breach in government systems, containment underway",Security,4,43,Critical
"Bridge collapse poses serious risk, engineers dispatched",Infrastructure,11,42,Medium
Relief efforts delayed due to severe weather conditions,Medical,24,25,Low
"Cybersecurity breach in government systems, containment underway",Logistics,23,39,Low
"Bridge collapse poses serious risk, engineers dispatched",Security,9,35,Low
Urgent need for medical supplies in rural areas,Medical,23,3,Low
Educational program for refugees requires immediate funding,Logistics,3,44,Critical
"Security threat detected in urban sector, immediate action required",Medical,19,51,High
New school materials needed for underprivileged children,Education,8,94,High
"Bridge collapse poses serious risk, engineers dispatched",Medical,5,98,Medium
New school materials needed for underprivileged children,Medical,4,12,Medium
Educational program for refugees requires immediate funding,Medical,24,19,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,24,95,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,16,44,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,14,48,Critical
Urgent need for medical supplies in rural areas (Updated case),Education,18,27,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,7,11,High
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,27,27,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,28,30,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,14,25,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,1,19,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,15,54,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,13,86,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,13,40,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,10,100,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,18,51,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,28,28,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,10,54,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,2,22,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,27,75,Critical
Educational program for refugees requires immediate funding (Updated case),Education,10,91,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,2,76,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,21,27,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,13,19,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,14,31,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,6,52,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,14,77,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,26,73,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,7,59,High
New school materials needed for underprivileged children (Updated case),Medical,14,32,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,24,37,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,15,87,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,19,71,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,13,13,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,1,57,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,5,29,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,16,10,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,1,27,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,1,39,Low
Educational program for refugees requires immediate funding (Updated case),Security,8,33,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,28,87,Medium
Urgent need for medical supplies in rural areas (Updated case),Education,2,33,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,9,76,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,24,54,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,7,3,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Medical,30,71,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,23,Medium
